Time ,Temp1,Temp2,Temp3,TCTemp3,,,외부 온도,23.9
1346.614,19.71320569,20.0601755,25.93147181,29.93696303,,,,
1346.715,19.72974441,20.01185267,26.01209523,30.01758645,,,,
1346.815,19.60769452,19.81666883,25.75035856,29.75584978,,,,
1346.916,19.66780103,19.73202545,25.21552037,29.22101159,,,,
1347.015,19.76948028,20.26837516,26.18718671,30.19267793,,,,
1347.114,19.73629745,20.09278287,26.31914365,30.32463487,,,,
1347.279,19.70225141,19.81242674,25.68743375,29.69292497,,,,
1347.315,19.67651958,20.07606178,25.30147389,29.30696511,,,,
1347.415,19.70914278,20.11349762,24.99683281,29.00232403,,,,
1347.514,19.78390082,20.12234888,25.57229854,29.57778976,,,,
1347.615,19.7311268,19.92528816,26.22946521,30.23495643,,,,
1347.715,19.76947099,19.87924784,25.61715012,29.62264134,,,,
1347.814,19.78389206,20.07721271,25.5376479,29.54313912,,,,
1347.915,19.69003006,19.99227022,25.2625748,29.26806602,,,,
1348.016,19.67840174,19.94532366,24.35196731,28.35745853,,,,
1348.115,19.80819191,20.06096271,25.48228562,29.48777684,,,,
1348.214,19.77776864,20.08157597,26.13841344,30.14390466,,,,
1348.315,19.72537815,20.02159895,25.1972835,29.20277472,,,,
1348.415,19.67608651,19.8740875,24.79955351,28.80504473,,,,
1348.515,19.70310941,19.7531763,24.75729053,28.76278175,,,,
1348.614,19.78070453,20.05027879,25.68652674,29.69201796,,,,
1348.715,19.68316292,20.12751152,25.77270203,29.77819325,,,,
1348.815,19.65478806,19.72537544,25.01803623,29.02352745,,,,
1348.914,19.69916252,19.87413355,25.31826675,29.32375797,,,,
1349.015,19.67470894,19.83151793,25.50566389,29.51115511,,,,
1349.115,19.66242321,19.61271741,25.25831527,29.26380649,,,,
1349.215,19.69359226,19.75594133,25.52244971,29.52794093,,,,
1349.314,19.72330613,19.88442922,25.38980366,29.39529488,,,,
1349.415,19.76255808,20.07513214,25.15894411,29.16443534,,,,
1349.516,19.62323371,19.92244489,25.17453467,29.18002589,,,,
1349.614,19.52790692,19.61126569,23.92663568,27.9321269,,,,
1349.715,19.74967108,19.9902062,24.69324402,28.69873524,,,,
1349.816,19.69482438,20.06066049,26.77076947,30.77626069,,,,
1349.915,19.5797991,19.7983055,25.61408879,29.61958001,,,,
1350.015,19.57257952,19.91700145,25.40374113,29.40923235,,,,
1350.114,19.5745586,19.90454273,25.46743514,29.47292636,,,,
1350.215,19.65669218,19.99676551,26.05035001,30.05584123,,,,
1350.315,19.54198431,19.95759429,26.73552153,30.74101275,,,,
1350.415,19.60686511,19.68742651,25.45668605,29.46217727,,,,
1350.515,19.68999915,19.96569589,25.91305547,29.91854669,,,,
1350.615,19.63928332,20.15892076,26.58424655,30.58973777,,,,
1350.715,19.58368573,19.68733491,25.22642851,29.23191973,,,,
1350.814,19.67297675,19.85040477,25.37964604,29.38513726,,,,
1350.914,19.67291251,20.14835399,25.95147021,29.95696143,,,,
1351.015,19.65154427,20.2746611,25.80962085,29.81511207,,,,
1351.115,19.60995233,20.14557905,25.71014487,29.71563609,,,,
1351.214,19.61987036,19.73527155,25.55633677,29.56182799,,,,
1351.315,19.6993194,19.97661132,25.87727856,29.88276978,,,,
1351.416,19.70663391,20.17102077,26.45883012,30.46432134,,,,
1351.515,19.63991854,20.08301549,25.22258946,29.22808068,,,,
1351.615,19.69676893,20.11021374,25.08568066,29.09117188,,,,
1351.716,19.72011793,20.06969807,26.09570792,30.10119914,,,,
1351.814,19.68465353,19.8655316,25.41640608,29.42189731,,,,
1351.914,19.64480678,19.94017949,25.08311985,29.08861108,,,,
1352.015,19.68033272,19.99400366,25.19704583,29.20253705,,,,
1352.115,19.78046869,20.12182178,25.85038101,29.85587223,,,,
1352.215,19.71962017,20.20663502,26.66054799,30.66603921,,,,
1352.315,19.62360829,19.70882735,25.26274701,29.26823823,,,,
1352.416,19.67551319,19.79655631,24.35460441,28.36009563,,,,
1352.516,19.72005059,20.19956491,25.60350646,29.60899768,,,,
1352.614,19.66937258,19.84561072,25.88603052,29.89152174,,,,
1352.714,19.71212641,19.7825251,25.51639374,29.52188496,,,,
1352.815,19.71331354,19.79464828,25.22024123,29.22573245,,,,
1352.915,19.74354674,19.88630511,24.78513552,28.79062674,,,,
1353.014,19.69494511,20.15556623,24.88178467,28.88727589,,,,
1353.114,19.60701329,19.85998893,24.65503281,28.66052403,,,,
1353.215,19.70364876,19.96767019,24.99132311,28.99681433,,,,
1353.314,19.73446198,20.1404806,26.41945028,30.4249415,,,,
1353.415,19.64151893,19.87378931,25.63361702,29.63910824,,,,
1353.516,19.61554637,19.69074565,24.61392292,28.61941414,,,,
1353.615,19.6860031,19.85740849,25.73952252,29.74501374,,,,
1353.714,19.67144989,20.01602113,26.21602257,30.22151379,,,,
1353.814,19.66739591,20.00173186,26.06982637,30.07531759,,,,
1353.916,19.63567541,19.72490497,25.29016982,29.29566104,,,,
1354.015,19.67571589,19.67604602,25.09195256,29.09744378,,,,
1354.114,19.73042574,20.03720175,25.99822698,30.0037182,,,,
1354.215,19.61504535,19.81048895,25.74521036,29.75070158,,,,
1354.316,19.70737083,19.73336808,25.11429051,29.11978173,,,,
1354.414,19.75971961,20.17774393,25.70025115,29.70574237,,,,
1354.515,19.65926707,20.09728956,25.58291406,29.58840528,,,,
1354.614,19.64572795,19.96075297,25.00088427,29.00637549,,,,
1354.715,19.58955568,19.82101298,25.04685823,29.05234945,,,,
1354.815,19.72467221,19.88227896,25.44520974,29.45070096,,,,
1354.914,19.71880328,20.13407673,26.65745743,30.66294865,,,,
1355.014,19.63197529,19.82954786,26.19358336,30.19907458,,,,
1355.115,19.60348688,19.85462524,24.43300763,28.43849885,,,,
1355.215,19.72101083,20.04855683,25.34583436,29.35132558,,,,
1355.314,19.69027494,20.0013158,26.06032008,30.0658113,,,,
1355.416,19.69138659,19.92950773,25.54364942,29.54914064,,,,
1355.515,19.68464959,19.95700326,25.59509151,29.60058273,,,,
1355.614,19.70277709,19.93394179,25.49657333,29.50206455,,,,
1355.715,19.68776855,20.03347154,25.79973508,29.8052263,,,,
1355.816,19.63429669,19.78695388,25.37075548,29.3762467,,,,
1355.914,19.67934259,19.66597901,24.9918073,28.99729852,,,,
1356.015,19.73199498,20.21656389,25.96858555,29.97407677,,,,
1356.114,19.66590739,20.14434665,25.93607327,29.94156449,,,,
1356.216,19.65846226,19.75324891,25.10952959,29.11502081,,,,
1356.314,19.6905198,19.70975564,25.34894105,29.35443227,,,,
1356.479,19.71056685,19.87488114,25.68496644,29.69045766,,,,
1356.514,19.74945816,20.19032096,25.55176217,29.5572534,,,,
1356.615,19.68578286,20.10779878,25.35996956,29.36546078,,,,
1356.715,19.65366752,19.95546941,24.64903752,28.65452874,,,,
1356.815,19.72806141,20.05769277,25.50884044,29.51433166,,,,
1356.916,19.6321373,19.90054425,26.25029027,30.25578149,,,,
1357.015,19.62791832,19.8208164,25.11235138,29.1178426,,,,
1357.115,19.70799175,20.03801084,25.67886954,29.68436076,,,,
1357.214,19.7314941,20.05262765,26.75824581,30.76373703,,,,
1357.316,19.72568363,19.91715816,26.39497496,30.40046618,,,,
1357.414,19.6626108,19.84145843,25.44847473,29.45396596,,,,
1357.515,19.68179296,19.75381182,24.439311,28.44480222,,,,
1357.614,19.7956494,20.05773596,25.7319765,29.73746772,,,,
1357.716,19.72299566,20.17622752,26.5968128,30.60230402,,,,
1357.814,19.72737474,19.75643607,25.22809298,29.2335842,,,,
1357.914,19.80344802,19.96165558,24.921686,28.92717722,,,,
1358.015,19.68784862,20.184328,25.43992762,29.44541884,,,,
1358.116,19.68613959,20.07614086,24.88033346,28.88582468,,,,
1358.215,19.7409246,20.03402066,25.12288113,29.12837235,,,,
1358.314,19.7328004,19.98624491,25.90098596,29.90647718,,,,
